id,name,market,season,assists,assists_turnover_ratio,bench_points,blocked_att,blocks,coach_ejections,coach_tech_fouls,defensive_assists,defensive_rating,defensive_rebounds,effective_fg_pct,efficiency,ejections,fast_break_att,fast_break_made,fast_break_pct,fast_break_pts,field_goals_at_midrange_att,field_goals_at_midrange_made,field_goals_at_midrange_pct,field_goals_at_rim_att,field_goals_at_rim_made,field_goals_at_rim_pct,field_goals_att,field_goals_made,field_goals_pct,flagrant_fouls,foulouts,fouls_drawn,free_throws_att,free_throws_made,free_throws_pct,games_played,minutes,net_rating,offensive_fouls,offensive_rating,offensive_rebounds,opponent_possessions,personal_fouls,points,points_against,points_in_paint,points_in_paint_att,points_in_paint_made,points_in_paint_pct,points_off_turnovers,possessions,rebounds,second_chance_att,second_chance_made,second_chance_pct,second_chance_pts,steals,team_defensive_rebounds,team_fouls,team_offensive_rebounds,team_rebounds,team_tech_fouls,team_turnovers,tech_fouls,technical_other,three_points_att,three_points_made,three_points_pct,total_fouls,total_rebounds,total_turnovers,true_shooting_att,true_shooting_pct,turnovers,two_points_att,two_points_made,two_points_pct
3c409388-ab73-4c7f-953d-3a71062240f6,Sky,Chicago,2023,818,1.52,778,144,181,0,5,0,100.76,990,0.501,3617,1,339,200,0.59,480,628,229,0.365,693,424,0.612,2783,1229,0.442,3,1,637,640,481,0.752,40,8050.0,-1.54,68,99.22,343,3308.84,691,3269,3334,1342,1280,671,0.524,532,3294.6,1333,350,162,0.463,370,267,98,14,213,311,9,35,27,0,888,330,0.372,705,1644,573,3064.6,0.533,538,1895,899,0.474
3c409388-ab73-4c7f-953d-3a71062240f6,Sky,Chicago,2024,759,1.45,771,231,151,0,3,0,100.91,1030,0.457,3419,1,290,176,0.607,418,548,188,0.343,902,523,0.58,2813,1188,0.422,6,7,681,710,527,0.742,40,8000.0,-6.01,64,94.9,434,3271.36,761,3096,3301,1616,1673,808,0.483,574,3262.4,1464,436,177,0.406,449,280,99,6,241,340,3,48,20,0,597,193,0.323,767,1804,571,3125.4,0.495,523,2216,995,0.449
3c409388-ab73-4c7f-953d-3a71062240f6,Sky,Chicago,2022,874,1.77,814,123,155,0,5,0,97.51,994,0.535,3781,0,272,170,0.625,417,440,163,0.37,780,526,0.674,2443,1176,0.481,3,3,595,599,493,0.823,36,7275.0,6.77,52,104.28,260,2999.8,584,3105,2925,1522,1259,761,0.604,517,2977.56,1254,255,130,0.51,321,261,83,13,153,236,8,36,15,0,754,260,0.345,597,1490,531,2706.56,0.574,495,1689,916,0.542
08ed8274-e29f-4248-bc2e-83cc8ed18d75,Liberty,New York,2024,911,1.8,644,127,179,0,0,0,93.91,1125,0.521,4142,0,324,189,0.583,498,320,111,0.347,528,374,0.708,2747,1230,0.448,1,2,674,687,559,0.814,40,8000.0,10.98,78,104.89,338,3256.48,615,3424,3058,1438,1279,719,0.562,605,3264.28,1463,347,159,0.458,407,316,93,5,199,292,5,47,13,0,1160,405,0.349,620,1755,553,3049.28,0.561,506,1587,825,0.52
0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,Sparks,Los Angeles,2023,760,1.52,714,195,114,0,2,0,98.44,993,0.474,3453,0,259,151,0.583,368,440,143,0.325,698,453,0.649,2672,1136,0.425,2,4,732,762,624,0.819,40,8025.0,-2.58,50,95.86,266,3272.04,676,3156,3221,1472,1457,736,0.505,532,3292.28,1259,275,118,0.429,242,339,102,17,213,315,15,50,20,0,780,260,0.333,693,1574,551,3007.28,0.525,501,1892,876,0.463
08ed8274-e29f-4248-bc2e-83cc8ed18d75,Liberty,New York,2022,745,1.41,856,115,148,0,1,0,100.01,981,0.504,3221,0,199,106,0.533,284,342,124,0.363,547,355,0.649,2402,1036,0.431,1,7,580,541,445,0.823,36,7275.0,-2.76,61,97.25,251,2951.56,656,2866,2952,1132,1073,566,0.527,451,2947.04,1232,262,125,0.477,308,219,91,6,165,256,5,31,15,0,995,349,0.351,662,1488,558,2640.04,0.543,527,1407,687,0.488
f073a15f-0486-4179-b0a3-dfd0294eb595,Fever,Indiana,2023,720,1.28,767,169,119,0,1,0,103.67,1004,0.491,3460,0,250,136,0.544,348,544,202,0.371,804,485,0.603,2730,1207,0.442,8,5,710,711,557,0.783,40,8075.0,-4.91,95,98.76,357,3281.64,787,3240,3402,1474,1396,737,0.528,426,3280.84,1361,367,183,0.499,380,260,104,14,222,326,13,32,20,0,791,269,0.34,801,1687,595,3042.84,0.532,563,1939,938,0.484
a015b02d-845c-40c1-8ef4-844984f47e4d,Sun,Connecticut,2023,826,1.67,766,185,152,0,0,0,96.74,1022,0.498,3766,1,326,203,0.623,481,427,149,0.349,783,491,0.627,2710,1206,0.445,7,3,773,794,608,0.766,40,8075.0,3.92,61,100.66,322,3265.52,736,3307,3159,1556,1501,778,0.518,619,3285.36,1344,343,158,0.461,364,323,95,7,249,344,7,52,22,0,798,287,0.36,743,1688,548,3059.36,0.54,496,1912,919,0.481
171b097d-01db-4ae8-9d56-035689402ec6,Aces,Las Vegas,2022,748,1.87,465,148,140,0,3,0,101.14,1023,0.528,3800,0,292,175,0.599,420,450,203,0.451,529,339,0.641,2529,1163,0.46,2,4,642,713,587,0.823,36,7225.0,6.86,63,108.0,249,2992.92,569,3256,3027,1238,1132,619,0.547,464,3014.72,1272,262,119,0.454,296,276,89,12,162,251,9,21,18,0,951,343,0.361,581,1523,421,2842.72,0.573,400,1578,820,0.52
4f57ec40-0d35-4b59-bea0-9d040f0d2292,Valkyries,Golden State,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171b097d-01db-4ae8-9d56-035689402ec6,Aces,Las Vegas,2024,820,1.9,599,143,198,1,5,0,97.47,1141,0.523,4072,0,315,172,0.546,432,417,178,0.427,384,256,0.667,2725,1236,0.454,0,0,687,733,607,0.828,40,8025.0,7.53,47,105.0,223,3320.16,661,3455,3236,1366,1255,683,0.544,533,3290.52,1364,241,117,0.485,275,282,92,19,171,263,13,34,28,0,1058,376,0.355,680,1627,466,3047.52,0.567,432,1667,860,0.516
